Time,Energy delta_Wh,GHI,temp,pressure,humidity,wind_speed,rain_1h,clouds_all,predicted_energy
1/6/2018 0:00,0,0,19.9,1016,78,3.2,0,7,4.674401259
1/6/2018 0:15,0,0,19.9,1016,78,3.2,0,7,4.674401259
1/6/2018 0:30,0,0,19.9,1016,78,3.2,0,7,4.674401259
1/6/2018 0:45,0,0,19.9,1016,78,3.2,0,7,4.674401259
1/6/2018 1:00,0,0,18.8,1016,81,2.7,0,9,4.674401259
1/6/2018 1:15,0,0,18.8,1016,81,2.7,0,9,4.674401259
1/6/2018 1:30,0,0,18.8,1016,81,2.7,0,9,4.674401259
1/6/2018 1:45,0,0,18.8,1016,81,2.7,0,9,4.674401259
1/6/2018 2:00,0,0,17,1016,82,2.4,0,9,4.674401259
1/6/2018 2:15,0,0,17,1016,82,2.4,0,9,4.674401259
1/6/2018 2:30,0,0,17,1016,82,2.4,0,9,4.674401259
1/6/2018 2:45,0,1.3,17,1016,82,2.4,0,9,4.674401259
1/6/2018 3:00,37,4.2,16.1,1016,85,2.6,0,10,28.92414627
1/6/2018 3:15,79,8.1,16.1,1016,85,2.6,0,10,59.46121899
1/6/2018 3:30,141,5,16.1,1016,85,2.6,0,10,103.5643898
1/6/2018 3:45,218,2.9,16.1,1016,85,2.6,0,10,152.6138967
1/6/2018 4:00,254,8.1,15.6,1016,85,2.7,0,7,234.5379397
1/6/2018 4:15,357,18.9,15.6,1016,85,2.7,0,7,320.3393047
1/6/2018 4:30,466,21,15.6,1016,85,2.7,0,7,409.3028988
1/6/2018 4:45,564,24.9,15.6,1016,85,2.7,0,7,516.7901798
1/6/2018 5:00,489,42.7,18.6,1016,81,2.5,0,10,579.8415837
1/6/2018 5:15,330,55.6,18.6,1016,81,2.5,0,10,577.1120269
1/6/2018 5:30,413,73.6,18.6,1016,81,2.5,0,10,400.8173885
1/6/2018 5:45,669,87.6,18.6,1016,81,2.5,0,10,506.5361218
1/6/2018 6:00,772,97,21,1016,74,2.4,0,2,896.5656811
1/6/2018 6:15,1023,106.4,21,1016,74,2.4,0,2,1050.00342
1/6/2018 6:30,1265,115.7,21,1016,74,2.4,0,2,1300.512523
1/6/2018 6:45,1612,124.7,21,1016,74,2.4,0,2,1531.149288
1/6/2018 7:00,1848,133.5,22.9,1016,71,2.5,0,1,1886.022278
1/6/2018 7:15,2044,142,22.9,1016,71,2.5,0,1,2084.860873
1/6/2018 7:30,2240,150.1,22.9,1016,71,2.5,0,1,2234.51142
1/6/2018 7:45,2603,157.8,22.9,1016,71,2.5,0,1,2502.437431
1/6/2018 8:00,2806,165.1,25,1016,67,2.5,0,6,2895.829061
1/6/2018 8:15,3094,171.9,25,1016,67,2.5,0,6,3086.574509
1/6/2018 8:30,3267,178.2,25,1016,67,2.5,0,6,3144.494597
1/6/2018 8:45,3351,183.9,25,1016,67,2.5,0,6,3400.790541
1/6/2018 9:00,3424,189,26.2,1016,64,2.5,0,8,3459.112398
1/6/2018 9:15,3523,193.6,26.2,1016,64,2.5,0,8,3479.123948
1/6/2018 9:30,3577,197.4,26.2,1016,64,2.5,0,8,3603.203932
1/6/2018 9:45,3650,200.7,26.2,1016,64,2.5,0,8,3653.964369
1/6/2018 10:00,3674,203.3,28.1,1016,50,2.4,0,93,3662.870501
1/6/2018 10:15,3756,204.8,28.1,1016,50,2.4,0,93,3701.146843
1/6/2018 10:30,3809,197,28.1,1016,50,2.4,0,93,3715.468157
1/6/2018 10:45,3850,193.7,28.1,1016,50,2.4,0,93,3690.847675
1/6/2018 11:00,3741,190,29.2,1015,47,3.5,0,75,3571.122392
1/6/2018 11:15,3914,198.1,29.2,1015,47,3.5,0,75,3660.944293
1/6/2018 11:30,2613,148,29.2,1015,47,3.5,0,75,2981.394192
1/6/2018 11:45,698,125.1,29.2,1015,47,3.5,0,75,2074.175606
1/6/2018 12:00,665,174.7,25.9,1014,47,3.8,0,47,1843.530893
1/6/2018 12:15,507,166.8,25.9,1014,47,3.8,0,47,1719.589502
1/6/2018 12:30,357,125.5,25.9,1014,47,3.8,0,47,1130.762995
1/6/2018 12:45,467,90.2,25.9,1014,47,3.8,0,47,633.2486798
1/6/2018 13:00,543,72.6,23.9,1015,48,3.5,0.23,82,733.5832711
1/6/2018 13:15,3020,87.7,23.9,1015,48,3.5,0.23,82,974.420726
1/6/2018 13:30,3034,130.1,23.9,1015,48,3.5,0.23,82,2696.110514
1/6/2018 13:45,1885,146.8,23.9,1015,48,3.5,0.23,82,2570.458583
1/6/2018 14:00,2138,132.3,23.8,1015,57,2.5,1.07,80,1888.953812
1/6/2018 14:15,2392,122.1,23.8,1015,57,2.5,1.07,80,1862.501383
1/6/2018 14:30,1699,115,23.8,1015,57,2.5,1.07,80,1901.553594
1/6/2018 14:45,1423,84,23.8,1015,57,2.5,1.07,80,1345.011933
1/6/2018 15:00,668,27.6,24.2,1014,59,1.7,0.1,46,857.6868522
1/6/2018 15:15,1257,8.7,24.2,1014,59,1.7,0.1,46,471.8728566
1/6/2018 15:30,1146,29.3,24.2,1014,59,1.7,0.1,46,785.3547997
1/6/2018 15:45,559,28.2,24.2,1014,59,1.7,0.1,46,655.3108481
1/6/2018 16:00,430,26.2,24,1014,61,2.1,0,31,415.4790799
