GHI,temp,pressure,humidity,wind_speed,rain_1h,clouds_all,Year,Month_num,DayOfYear,Minute,Hour,Season,Day,Week_cos,Energy_lag_1,Energy_lag_2
0.0,19.9,1016.0,78.0,3.2,0.0,7.000000000000001,2018,6,152,0,0,1,4,-0.8610436117673553,0.0,0.0
0.0,19.9,1016.0,78.0,3.2,0.0,7.000000000000001,2018,6,152,15,0,1,4,-0.8610436117673553,0.0,0.0
0.0,19.9,1016.0,78.0,3.2,0.0,7.000000000000001,2018,6,152,30,0,1,4,-0.8610436117673553,0.0,0.0
0.0,19.9,1016.0,78.0,3.2,0.0,7.000000000000001,2018,6,152,45,0,1,4,-0.8610436117673553,0.0,0.0
0.0,18.8,1016.0,80.99999999999999,2.7,0.0,9.0,2018,6,152,0,1,1,4,-0.8610436117673553,0.0,0.0
0.0,18.8,1016.0,80.99999999999999,2.7,0.0,9.0,2018,6,152,15,1,1,4,-0.8610436117673553,0.0,0.0
0.0,18.8,1016.0,80.99999999999999,2.7,0.0,9.0,2018,6,152,30,1,1,4,-0.8610436117673553,0.0,0.0
0.0,18.8,1016.0,80.99999999999999,2.7,0.0,9.0,2018,6,152,45,1,1,4,-0.8610436117673553,0.0,0.0
0.0,16.999999999999996,1016.0,82.0,2.4,0.0,9.0,2018,6,152,0,2,1,4,-0.8610436117673553,0.0,0.0
0.0,16.999999999999996,1016.0,82.0,2.4,0.0,9.0,2018,6,152,15,2,1,4,-0.8610436117673553,0.0,0.0
0.0,16.999999999999996,1016.0,82.0,2.4,0.0,9.0,2018,6,152,30,2,1,4,-0.8610436117673553,0.0,0.0
1.3,16.999999999999996,1016.0,82.0,2.4,0.0,9.0,2018,6,152,45,2,1,4,-0.8610436117673553,0.0,0.0
4.2,16.1,1016.0,85.0,2.6,0.0,10.0,2018,6,152,0,3,1,4,-0.8610436117673553,0.0,0.0
8.1,16.1,1016.0,85.0,2.6,0.0,10.0,2018,6,152,15,3,1,4,-0.8610436117673553,37.0,0.0
5.0,16.1,1016.0,85.0,2.6,0.0,10.0,2018,6,152,30,3,1,4,-0.8610436117673553,79.0,37.0
